	author	author_type	url	location	deal_type	accommodation_type	floor	floors_count	rooms_count	total_meters	price	district	street	house_number	underground	residential_complex
199	FS PROPERTY	real_estate_agent	https://www.cian.ru/sale/flat/301355208/	Москва	sale	flat	6	6	2	145.5	154346399	Якиманка	 Большая Полянка	61С2	Добрынинская	
200	Level Group	developer	https://www.cian.ru/sale/flat/296357478/	Москва	sale	flat	24	26	2	41.8	26487928	Нагатино-Садовники	Нагатинская набережная	10А	Нагатинская	Level Нагатинская
201	One Moscow	real_estate_agent	https://www.cian.ru/sale/flat/303296300/	Москва	sale	flat	38	68	2	72.5	78000000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
202	MR Group	developer	https://www.cian.ru/sale/flat/302792267/	Москва	sale	flat	5	13	1	68.43	97431866	Мещанский	Садовая-Сухаревская 	14	Цветной бульвар	Клубный дом Forum
203	Whitewill Москва-Сити	real_estate_agent	https://www.cian.ru/sale/flat/301716912/	Москва	sale	flat	48	64	2	104.0	88000000	Пресненский	набережная Пресненская	8с1	Деловой центр	Город Столиц
204	Трансстройинвест	developer	https://www.cian.ru/sale/flat/296222970/	Москва	sale	flat	17	22	2	58.9	29460366	Останкинский	проезд Ольминского	4	ВДНХ	Сенатор
205	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/301362196/	Москва	sale	flat	3	15	1	65.0	61000000	Раменки	Мосфильмовская 	31А	Ломоносовский проспект	KING & SONS
206	Колди	developer	https://www.cian.ru/sale/flat/302241697/	Москва	sale	flat	7	21	2	43.29	12158872	Нижегородский			Калитники	Н'айс Лофт ЖК
207	ID 413522	realtor	https://www.cian.ru/sale/flat/303087594/	Москва	sale	flat	7	14	2	95.0	164990000	Хамовники	 Усачева	15А	Спортивная	Садовые кварталы
208	Regions Development	developer	https://www.cian.ru/sale/flat/304060672/	Москва	sale	flat	2	23	1	57.5	29661082	Нагатинский затон	проспект Андропова	9/1	Технопарк	Dream Towers
209	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/303202031/	Москва	sale	flat	2	25	2	41.3	12200000	Орехово-Борисово Южное	Ясеневая 	12к2	Домодедовская	Ясеневая 14
210	Regions Development	developer	https://www.cian.ru/sale/flat/304011899/	Москва	sale	flat	10	16	1	40.9	19546264	Преображенское	Жилой комплекс Преображенская площадь		Преображенская площадь	Преображенская площадь
211	Unique	real_estate_agent	https://www.cian.ru/sale/flat/303783084/	Москва	sale	flat	6	9	2	60.0	18000000		 Ясеневая	1к1	Ольховая	
212	Трансстройинвест	developer	https://www.cian.ru/sale/flat/299589652/	Москва	sale	flat	2	24	1	43.5	17768630	Очаково-Матвеевское	Мичуринский проспект	72А	Озёрная	ОМ
213	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/303780364/	Москва	sale	flat	4	9	1	33.0	11900000	Нагатинский затон	Судостроительная 	6	Коломенская	
214	ASTERUS	representative_developer	https://www.cian.ru/sale/flat/299661848/	Москва	sale	flat	2	14	2	57.0	28160045	Покровское-Стрешнево			Тушинская	Алиа ЖК
215	Verges of estate	real_estate_agent	https://www.cian.ru/sale/flat/302141509/	Москва	sale	flat	17	47	2	63.5	28000000	Обручевский	 Академика Волгина	2С3	Воронцовская	Архитектор
216	Концерн КРОСТ	developer	https://www.cian.ru/sale/flat/299370745/	Москва	sale	flat	2	6	1	39.0	19500000	Хорошево-Мневники	 Саляма Адиля	2А	Народное Ополчение	Wellton SPA Residence
217	Whitewill Москва-Сити	real_estate_agent	https://www.cian.ru/sale/flat/280116651/	Москва	sale	flat	62	77	2	111.0	149000000	Пресненский	1-й Красногвардейский проезд	22	Деловой центр	NEVA TOWERS
218	TOUCH	developer	https://www.cian.ru/sale/flat/302838481/	Москва	sale	flat	6	13	2	60.31	35498000	Южнопортовый		к3	Дубровка	Шампайн ЖК
219	Whitewill Москва-Сити	real_estate_agent	https://www.cian.ru/sale/flat/300577056/	Москва	sale	flat	35	78	2	83.0	63000000	Пресненский	1-й Красногвардейский проезд	22	Деловой центр	NEVA TOWERS
220	MR Group	developer	https://www.cian.ru/sale/flat/298871278/	Москва	sale	flat	2	19	2	53.4	18893133	Покровское-Стрешнево			Тушинская	Ситизен ЖК
221	Intermark Real Estate	real_estate_agent	https://www.cian.ru/sale/flat/302999320/	Москва	sale	flat	4	8	2	69.8	58737379	Хамовники	Смоленский бульвар	22/14	Смоленская	
222	COLDY	developer	https://www.cian.ru/sale/flat/297997304/	Москва	sale	flat	2	14	1	101.91	183834633	Хамовники	переулок 1-й Тружеников	12	Киевская	Хамовники 12
223	ID 13184731	realtor	https://www.cian.ru/sale/flat/303480075/	Москва	sale	flat	6	14	2	43.0	13300000	Люблино	Высотный проезд	4	Люблино	
